Standard,Unique Product IDs,Number of Reviews
FSC Reviews,85,6696
Recycled Claim Standard 100 Reviews,90,6669
BIFMA Reviews,48,3179
Blue Angel Reviews,83,3864
Fair For Life Reviews,93,6143
