Standard,V0 URL,V1&2 Product IDs,V1&2 Reviews,V3 Merged ,V4 
BIFMA ,72,48,3179,3351,3351
Blue Angel,100,83,3864,4274,4274
Fair For Life ,100,93,6143,6463,6463
FSC Reviews,100,85,6696,6800,6800
Recycled Claim Standard 100 ,100,90,6669,8234,8234
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
